date,site,keyword,count,average_price,min_price,max_price
2025-11-11,rakuma,BEAMS,25,3883.16,599,11200
2025-11-12,rakuma,BEAMS,25,4135.16,580,7500
2025-11-13,rakuma,BEAMS,25,5382.4,2200,15000
2025-11-14,rakuma,BEAMS,25,8024.36,1499,87000
2025-11-15,rakuma,BEAMS,25,5487.96,2799,28800
2025-11-16,rakuma,BEAMS,25,3879.16,2180,7800
2025-11-17,rakuma,BEAMS,25,3898.8,810,9300
2025-11-19,rakuma,BEAMS,25,7708.0,1300,13400
2025-11-20,rakuma,BEAMS,25,4344.28,830,23000
2025-11-21,rakuma,BEAMS,25,5282.36,1800,36000
2025-11-22,rakuma,BEAMS,25,3751.12,300,11000
2025-11-23,rakuma,BEAMS,25,10103.16,899,57000
2025-11-25,rakuma,BEAMS,25,6467.2,1000,34000
2025-11-26,rakuma,BEAMS,25,3735.96,2000,8500
2025-11-28,rakuma,BEAMS,25,5067.16,1600,11000
2025-12-01,rakuma,BEAMS,25,4724.0,500,49000
2025-12-03,rakuma,BEAMS,25,8264.64,480,63400
2025-12-04,rakuma,BEAMS,25,5452.8,780,24000
2025-12-05,rakuma,BEAMS,25,6263.2,800,50900
2025-12-06,rakuma,BEAMS,25,6823.2,1300,39800
2025-12-09,rakuma,BEAMS,25,18647.08,1580,99999
2025-12-10,rakuma,BEAMS,25,7158.24,1200,62800
2025-12-11,rakuma,BEAMS,25,15030.76,500,82000
2025-12-12,rakuma,BEAMS,25,9342.92,300,39800
2025-12-13,rakuma,BEAMS,25,10512.28,1880,59800
2025-12-16,rakuma,BEAMS,25,7622.36,800,26000
2025-12-17,rakuma,BEAMS,25,4965.76,832,9500
2025-12-18,rakuma,BEAMS,25,3231.8,2080,7999
2025-12-19,rakuma,BEAMS,25,8790.2,1600,48999
2025-12-20,rakuma,BEAMS,25,20227.36,1100,259800
2025-12-21,rakuma,BEAMS,25,5309.2,550,15000
2025-12-22,rakuma,BEAMS,25,3280.72,400,25500
2025-12-25,rakuma,BEAMS,25,4835.96,699,26500
2025-12-27,rakuma,BEAMS,25,4963.2,1800,15000
